"T K" "p [Bar]" "P saturated vapour [Bar]" "P saturated liquid [Bar]" "T saturated vapour K" "T saturated liquid K" "H gas [kJ/kg]" "H saturated liquid [kJ/kg]" "S gas [kJ/(kg K)]" "S saturated liquid [kJ/(kg K)]" "v liquid [dm^3/kg]" "v gas [m^3/kg]" "Cp liquid [kJ/(kg K)]" "Cp gas [kJ/(kg K)]" "Cv gas [kJ/(kg K)]" "Sound velocity [m/s]" "Viscosity liquid [kg/(m s)]" "Viscosity gas [kg/(m s)]" "Conductivity liquid [W/(m K)]" "Conductivity gas [W/(m K)]" "Heat of evap. [kJ/kg]"
200.000 0.001 1.626423142E-6 1.626423142E-6 252.816153 252.816153 2365.609953 -467.747386 9.414182494 -1.789073009 1.034129337 923.0124759 1.581678953 1.843871933 1.385461028 350.3492007 N/A 9.057463706E-6 N/A 5.270714944E-5 2833.037759
200.000 0.501 1.626423142E-6 1.626423142E-6 354.5303038 354.5303038 2526.891989 -467.747386 7.319549269 -1.789073009 1.034129337 1.987206526 1.581678953 -6.521798973 -6.714502161 325.2391908 N/A 8.640851816E-6 N/A 9.564769741E-8 2833.037759
200.000 1.001 1.626423142E-6 1.626423142E-6 372.8031856 372.8031856 2679.980062 -467.747386 7.726504578 -1.789073009 1.034129337 1.087699023 1.581678953 -12.15494259 -14.05034613 338.6517042 N/A 8.153430901E-6 N/A 4.786683121E-8 2833.037759
200.000 1.501 1.626423142E-6 1.626423142E-6 384.5412339 384.5412339 2819.699634 -467.747386 8.195205468 -1.789073009 1.034129337 0.791537702 1.581678953 -16.10615782 -20.53699015 352.8523541 N/A 7.575471862E-6 N/A 3.192078378E-8 2833.037759
200.000 2.001 1.626423142E-6 1.626423142E-6 393.3990367 393.3990367 2946.998471 -467.747386 8.654068202 -1.789073009 1.034129337 0.6434806617 1.581678953 -19.1343378 -26.31479894 367.2651985 N/A 6.879165866E-6 N/A 2.394417554E-8 2833.037759
200.000 2.501 1.626423142E-6 1.626423142E-6 400.5984286 400.5984286 3063.954736 -467.747386 9.089964664 -1.789073009 1.034129337 0.5538255174 1.581678953 -21.63065064 -31.53316884 381.3654805 N/A 6.024016405E-6 N/A 1.915706294E-8 2833.037759
200.000 3.001 1.626423142E-6 1.626423142E-6 406.7080662 406.7080662 3172.372589 -467.747386 9.501649774 -1.789073009 1.034129337 0.4931839479 1.581678953 -23.76908814 -36.30562238 394.739411 N/A 4.948671825E-6 N/A 1.59651762E-8 2833.037759
200.000 3.501 1.626423142E-6 1.626423142E-6 412.041775 412.041775 3273.819568 -467.747386 9.891370489 -1.789073009 1.034129337 0.4490512741 1.581678953 -25.68363629 -40.72212742 407.5579679 N/A 3.555516329E-6 N/A 1.368502278E-8 2833.037759
200.000 4.001 1.626423142E-6 1.626423142E-6 416.7922186 416.7922186 3369.417242 -467.747386 10.26149112 -1.789073009 1.034129337 0.4152713586 1.581678953 -27.42784219 -44.84551712 419.7480202 N/A 1.67922997E-6 N/A 1.197477954E-8 2833.037759
200.000 4.501 1.626423142E-6 1.626423142E-6 421.0866935 421.0866935 3460.058223 -467.747386 10.6143509 -1.789073009 1.034129337 0.3884304127 1.581678953 -29.04192753 -48.72411449 431.3490861 N/A -9.842217855E-7 N/A 1.06445144E-8 2833.037759
