"T K" "p [Bar]" "Vl dm^3/kg" "Vg m^3/kg" "Hl kJ/kg" "Hg kJ/kg" "R kJ/kg" "Sl kJ/(kgK)" "Sg kJ/(kgK)"
271.15 0.0052 0.9999 241.64497 -337.78 2497.32 2835.10 -1.2369 9.2190
276.15 0.0076 1.0000 168.14255 12.18 2506.54 2494.36 0.0444 9.0770
281.15 0.0107 1.0003 120.92301 32.83 2515.74 2482.92 0.1185 8.9498
286.15 0.0150 1.0009 88.12892 53.60 2524.93 2471.33 0.1917 8.8282
291.15 0.0206 1.0018 65.04127 74.50 2534.08 2459.58 0.2641 8.7120
296.15 0.0281 1.0029 48.57273 95.71 2543.21 2447.50 0.3363 8.6007
301.15 0.0378 1.0042 36.68857 116.78 2552.30 2435.52 0.4069 8.4943
306.15 0.0503 1.0057 28.00977 137.88 2561.35 2423.47 0.4764 8.3923
311.15 0.0663 1.0074 21.60164 159.01 2570.35 2411.35 0.5448 8.2946
316.15 0.0865 1.0093 16.82034 180.13 2579.30 2399.17 0.6122 8.2009
321.15 0.1117 1.0114 13.21719 201.25 2588.20 2386.95 0.6784 8.1109
326.15 0.1431 1.0137 10.47606 222.35 2597.03 2374.68 0.7436 8.0245
331.15 0.1817 1.0161 8.37185 243.42 2605.78 2362.36 0.8077 7.9415
336.15 0.2288 1.0188 6.74264 264.47 2614.47 2350.00 0.8708 7.8617
341.15 0.2859 1.0216 5.47086 285.49 2623.07 2337.58 0.9328 7.7849
346.15 0.3546 1.0246 4.47031 306.49 2631.58 2325.09 0.9939 7.7109
351.15 0.4368 1.0278 3.67728 327.47 2640.00 2312.53 1.0541 7.6397
356.15 0.5345 1.0311 3.04425 348.44 2648.31 2299.87 1.1133 7.5709
361.15 0.6498 1.0346 2.53552 369.39 2656.52 2287.12 1.1717 7.5046
366.15 0.7852 1.0382 2.12401 390.35 2664.61 2274.26 1.2293 7.4406
371.15 0.9433 1.0420 1.78908 411.32 2672.57 2261.26 1.2862 7.3787
376.15 1.1269 1.0460 1.51487 432.30 2680.41 2248.11 1.3423 7.3189
381.15 1.3391 1.0501 1.28909 453.31 2688.11 2234.80 1.3977 7.2610
386.15 1.5832 1.0543 1.10218 474.35 2695.66 2221.31 1.4525 7.2049
391.15 1.8627 1.0588 0.94664 495.44 2703.06 2207.62 1.5067 7.1506
396.15 2.1814 1.0633 0.81656 516.58 2710.30 2193.71 1.5603 7.0979
401.15 2.5432 1.0681 0.70726 537.78 2717.36 2179.58 1.6134 7.0467
406.15 2.9522 1.0730 0.61499 559.05 2724.24 2165.19 1.6659 6.9969
411.15 3.4130 1.0780 0.53676 580.39 2730.93 2150.53 1.7180 6.9486
416.15 3.9302 1.0833 0.47015 601.81 2737.41 2135.59 1.7697 6.9015
421.15 4.5087 1.0887 0.41321 623.32 2743.67 2120.35 1.8209 6.8556
426.15 5.1536 1.0942 0.36434 644.91 2749.71 2104.80 1.8717 6.8108
431.15 5.8703 1.1000 0.32224 666.60 2755.51 2088.91 1.9221 6.7671
436.15 6.6642 1.1059 0.28584 688.38 2761.06 2072.68 1.9721 6.7244
441.15 7.5412 1.1121 0.25426 710.26 2766.34 2056.08 2.0218 6.6825
446.15 8.5073 1.1184 0.22678 732.24 2771.34 2039.10 2.0711 6.6415
451.15 9.5687 1.1250 0.20278 754.32 2776.04 2021.72 2.1200 6.6013
456.15 10.7318 1.1317 0.18175 776.50 2780.44 2003.93 2.1687 6.5618
461.15 12.0032 1.1387 0.16328 798.79 2784.51 1985.71 2.2169 6.5229
466.15 13.3898 1.1459 0.14701 821.19 2788.24 1967.04 2.2649 6.4847
471.15 14.8986 1.1534 0.13263 843.70 2791.61 1947.91 2.3126 6.4469
476.15 16.5369 1.1612 0.11989 866.33 2794.61 1928.28 2.3599 6.4097
481.15 18.3121 1.1693 0.10857 889.07 2797.22 1908.14 2.4070 6.3728
486.15 20.2319 1.1776 0.09850 911.95 2799.42 1887.47 2.4538 6.3363
491.15 22.3042 1.1863 0.08950 934.95 2801.20 1866.24 2.5004 6.3001
496.15 24.5369 1.1953 0.08146 958.10 2802.53 1844.43 2.5467 6.2642
501.15 26.9385 1.2047 0.07425 981.40 2803.40 1821.99 2.5929 6.2285
506.15 29.5173 1.2145 0.06777 1004.67 2803.80 1799.13 2.6385 6.1930
511.15 32.2820 1.2247 0.06193 1028.30 2803.68 1775.38 2.6843 6.1576
516.15 35.2415 1.2354 0.05667 1052.13 2803.04 1750.91 2.7300 6.1222
521.15 38.4049 1.2465 0.05190 1076.17 2801.84 1725.67 2.7756 6.0869
526.15 41.7815 1.2582 0.04759 1100.44 2800.07 1699.63 2.8211 6.0514
531.15 45.3808 1.2704 0.04367 1124.97 2797.69 1672.72 2.8667 6.0159
536.15 49.2125 1.2833 0.04011 1149.77 2794.68 1644.91 2.9122 5.9802
541.15 53.2867 1.2968 0.03686 1174.88 2791.00 1616.12 2.9578 5.9443
546.15 57.6135 1.3111 0.03390 1200.31 2786.61 1586.30 3.0036 5.9081
551.15 62.2036 1.3262 0.03119 1226.10 2781.48 1555.38 3.0495 5.8716
556.15 67.0676 1.3421 0.02871 1252.28 2775.55 1523.27 3.0956 5.8346
561.15 72.2169 1.3590 0.02643 1278.88 2768.77 1489.89 3.1420 5.7970
566.15 77.6628 1.3770 0.02433 1305.93 2761.07 1455.15 3.1886 5.7589
571.15 83.4175 1.3962 0.02240 1333.47 2752.39 1418.92 3.2357 5.7200
576.15 89.4934 1.4167 0.02062 1361.55 2742.62 1381.08 3.2831 5.6802
581.15 95.9036 1.4388 0.01897 1390.22 2731.68 1341.46 3.3311 5.6394
586.15 102.6620 1.4626 0.01745 1419.53 2719.42 1299.89 3.3796 5.5973
591.15 109.7832 1.4884 0.01603 1449.57 2705.70 1256.13 3.4289 5.5538
596.15 117.2831 1.5165 0.01470 1480.42 2690.32 1209.90 3.4790 5.5085
601.15 125.1786 1.5475 0.01347 1512.34 2672.97 1160.64 3.5302 5.4609
606.15 133.4884 1.5819 0.01231 1545.09 2653.56 1108.46 3.5824 5.4111
611.15 142.2327 1.6206 0.01122 1579.41 2631.39 1051.98 3.6364 5.3578
616.15 151.4341 1.6648 0.01018 1615.40 2606.06 990.66 3.6926 5.3004
621.15 161.1181 1.7165 0.00920 1653.61 2576.70 923.09 3.7517 5.2378
626.15 171.3129 1.7786 0.00825 1694.90 2542.11 847.21 3.8151 5.1681
631.15 182.0511 1.8566 0.00732 1740.68 2500.24 759.56 3.8848 5.0883
636.15 193.3695 1.9616 0.00638 1793.75 2447.13 653.38 3.9651 4.9922
641.15 205.3110 2.1212 0.00538 1860.55 2373.25 512.70 4.0659 4.8656
646.15 217.9247 2.4733 0.00402 1969.83 2228.80 258.98 4.2312 4.6320
647.29 220.8900 3.1550 0.00315 2099.04 2099.04 0.00 4.4297 4.4297
